"","Date","Beach","Attendance","Month","Year"
"2488","09/08/2019","Cedar Grove",0,"September","2019"
"2489","05/23/2020","Orchard",150,"May","2020"
"2490","05/23/2020","Coney Island",655,"May","2020"
"2491","05/23/2020","Manhattan",50,"May","2020"
"2492","05/23/2020","Rockaway",400,"May","2020"
"2493","05/23/2020","Midland",200,"May","2020"
"2494","05/23/2020","South beach",250,"May","2020"
"2495","05/23/2020","Wolfe's Pond",160,"May","2020"
"2496","05/23/2020","Cedar Grove",5,"May","2020"
"2497","05/24/2020","Orchard",8463,"May","2020"
"2498","05/24/2020","Coney Island",11000,"May","2020"
"2499","05/24/2020","Manhattan",550,"May","2020"
"2500","05/24/2020","Rockaway",2748,"May","2020"
"2501","05/24/2020","Midland",975,"May","2020"
"2502","05/24/2020","South beach",1125,"May","2020"
"2503","05/24/2020","Wolfe's Pond",335,"May","2020"
"2504","05/24/2020","Cedar Grove",60,"May","2020"
"2505","05/25/2020","Orchard",4156,"May","2020"
"2506","05/25/2020","Coney Island",9500,"May","2020"
"2507","05/25/2020","Manhattan",850,"May","2020"
"2508","05/25/2020","Rockaway",1410,"May","2020"
"2509","05/25/2020","Midland",1425,"May","2020"
"2510","05/25/2020","South beach",1775,"May","2020"
"2511","05/25/2020","Wolfe's Pond",110,"May","2020"
"2512","05/25/2020","Cedar Grove",100,"May","2020"
"2513","05/26/2020","Orchard",4101,"May","2020"
"2514","05/26/2020","Coney Island",1579,"May","2020"
"2515","05/26/2020","Manhattan",485,"May","2020"
"2516","05/26/2020","Rockaway",725,"May","2020"
"2517","05/26/2020","Midland",350,"May","2020"
"2518","05/26/2020","South beach",450,"May","2020"
"2519","05/26/2020","Wolfe's Pond",60,"May","2020"
"2520","05/26/2020","Cedar Grove",60,"May","2020"
"2521","05/27/2020","Orchard",3474,"May","2020"
"2522","05/27/2020","Coney Island",2915,"May","2020"
"2523","05/27/2020","Manhattan",530,"May","2020"
"2524","05/27/2020","Rockaway",1245,"May","2020"
"2525","05/27/2020","Midland",325,"May","2020"
"2526","05/27/2020","South beach",450,"May","2020"
"2527","05/27/2020","Wolfe's Pond",20,"May","2020"
"2528","05/27/2020","Cedar Grove",45,"May","2020"
"2529","05/28/2020","Orchard",143,"May","2020"
"2530","05/28/2020","Coney Island",4100,"May","2020"
"2531","05/28/2020","Manhattan",250,"May","2020"
"2532","05/28/2020","Rockaway",2020,"May","2020"
"2533","05/28/2020","Midland",375,"May","2020"
"2534","05/28/2020","South beach",540,"May","2020"
"2535","05/28/2020","Wolfe's Pond",120,"May","2020"
"2536","05/28/2020","Cedar Grove",9,"May","2020"
"2537","05/29/2020","Orchard",256,"May","2020"
"2538","05/29/2020","Coney Island",4000,"May","2020"
"2539","05/29/2020","Manhattan",250,"May","2020"
"2540","05/29/2020","Rockaway",4500,"May","2020"
"2541","05/29/2020","Midland",535,"May","2020"
"2542","05/29/2020","South beach",640,"May","2020"
"2543","05/29/2020","Wolfe's Pond",115,"May","2020"
"2544","05/29/2020","Cedar Grove",20,"May","2020"
"2545","05/30/2020","Orchard",6296,"May","2020"
"2546","05/30/2020","Coney Island",34500,"May","2020"
"2547","05/30/2020","Manhattan",1700,"May","2020"
"2548","05/30/2020","Rockaway",40000,"May","2020"
"2549","05/30/2020","Midland",1175,"May","2020"
"2550","05/30/2020","South beach",1700,"May","2020"
"2551","05/30/2020","Wolfe's Pond",285,"May","2020"
"2552","05/30/2020","Cedar Grove",240,"May","2020"
"2553","05/31/2020","Orchard",4582,"May","2020"
"2554","05/31/2020","Coney Island",17500,"May","2020"
"2555","05/31/2020","Manhattan",1500,"May","2020"
"2556","05/31/2020","Rockaway",21500,"May","2020"
"2557","05/31/2020","Midland",3325,"May","2020"
"2558","05/31/2020","South beach",4100,"May","2020"
"2559","05/31/2020","Wolfe's Pond",265,"May","2020"
"2560","05/31/2020","Cedar Grove",140,"May","2020"
"2561","06/01/2020","Orchard",839,"June","2020"
"2562","06/01/2020","Coney Island",4750,"June","2020"
"2563","06/01/2020","Manhattan",400,"June","2020"
"2564","06/01/2020","Rockaway",2951,"June","2020"
"2565","06/01/2020","Midland",500,"June","2020"
"2566","06/01/2020","South beach",750,"June","2020"
"2567","06/01/2020","Wolfe's Pond",115,"June","2020"
"2568","06/01/2020","Cedar Grove",95,"June","2020"
"2569","06/02/2020","Orchard",368,"June","2020"
"2570","06/02/2020","Coney Island",2800,"June","2020"
"2571","06/02/2020","Manhattan",420,"June","2020"
"2572","06/02/2020","Rockaway",1420,"June","2020"
"2573","06/02/2020","Midland",450,"June","2020"
"2574","06/02/2020","South beach",650,"June","2020"
"2575","06/02/2020","Wolfe's Pond",55,"June","2020"
"2576","06/02/2020","Cedar Grove",25,"June","2020"
"2577","06/03/2020","Orchard",784,"June","2020"
"2578","06/03/2020","Coney Island",3000,"June","2020"
"2579","06/03/2020","Manhattan",225,"June","2020"
"2580","06/03/2020","Rockaway",1385,"June","2020"
"2581","06/03/2020","Midland",500,"June","2020"
"2582","06/03/2020","South beach",600,"June","2020"
"2583","06/03/2020","Wolfe's Pond",45,"June","2020"
"2584","06/03/2020","Cedar Grove",40,"June","2020"
"2585","06/04/2020","Orchard",2054,"June","2020"
"2586","06/04/2020","Coney Island",15000,"June","2020"
"2587","06/04/2020","Manhattan",1150,"June","2020"
"2588","06/04/2020","Rockaway",15000,"June","2020"
"2589","06/04/2020","Midland",2300,"June","2020"
"2590","06/04/2020","South beach",2750,"June","2020"
"2591","06/04/2020","Wolfe's Pond",110,"June","2020"
"2592","06/04/2020","Cedar Grove",95,"June","2020"
"2593","06/05/2020","Orchard",218,"June","2020"
"2594","06/05/2020","Coney Island",5500,"June","2020"
"2595","06/05/2020","Manhattan",250,"June","2020"
"2596","06/05/2020","Rockaway",5000,"June","2020"
"2597","06/05/2020","Midland",335,"June","2020"
"2598","06/05/2020","South beach",525,"June","2020"
"2599","06/05/2020","Wolfe's Pond",50,"June","2020"
"2600","06/05/2020","Cedar Grove",20,"June","2020"
"2601","06/06/2020","Orchard",5595,"June","2020"
"2602","06/06/2020","Coney Island",32000,"June","2020"
"2603","06/06/2020","Manhattan",1800,"June","2020"
"2604","06/06/2020","Rockaway",65200,"June","2020"
"2605","06/06/2020","Midland",3200,"June","2020"
"2606","06/06/2020","South beach",3800,"June","2020"
"2607","06/06/2020","Wolfe's Pond",250,"June","2020"
"2608","06/06/2020","Cedar Grove",300,"June","2020"
"2609","06/07/2020","Orchard",10350,"June","2020"
"2610","06/07/2020","Coney Island",77000,"June","2020"
"2611","06/07/2020","Manhattan",2100,"June","2020"
"2612","06/07/2020","Rockaway",42010,"June","2020"
"2613","06/07/2020","Midland",3900,"June","2020"
"2614","06/07/2020","South beach",5000,"June","2020"
"2615","06/07/2020","Wolfe's Pond",410,"June","2020"
"2616","06/07/2020","Cedar Grove",350,"June","2020"
"2617","06/08/2020","Orchard",1541,"June","2020"
"2618","06/08/2020","Coney Island",15750,"June","2020"
"2619","06/08/2020","Manhattan",1075,"June","2020"
"2620","06/08/2020","Rockaway",10100,"June","2020"
"2621","06/08/2020","Midland",2100,"June","2020"
"2622","06/08/2020","South beach",3150,"June","2020"
"2623","06/08/2020","Wolfe's Pond",125,"June","2020"
"2624","06/08/2020","Cedar Grove",115,"June","2020"
"2625","06/09/2020","Orchard",10042,"June","2020"
"2626","06/09/2020","Coney Island",26300,"June","2020"
"2627","06/09/2020","Manhattan",1250,"June","2020"
"2628","06/09/2020","Rockaway",7000,"June","2020"
"2629","06/09/2020","Midland",2400,"June","2020"
"2630","06/09/2020","South beach",3000,"June","2020"
"2631","06/09/2020","Wolfe's Pond",190,"June","2020"
"2632","06/09/2020","Cedar Grove",230,"June","2020"
"2633","06/10/2020","Orchard",2353,"June","2020"
"2634","06/10/2020","Coney Island",7500,"June","2020"
"2635","06/10/2020","Manhattan",550,"June","2020"
"2636","06/10/2020","Rockaway",9000,"June","2020"
"2637","06/10/2020","Midland",875,"June","2020"
"2638","06/10/2020","South beach",1200,"June","2020"
"2639","06/10/2020","Wolfe's Pond",245,"June","2020"
"2640","06/10/2020","Cedar Grove",160,"June","2020"
"2641","06/11/2020","Orchard",135,"June","2020"
"2642","06/11/2020","Coney Island",400,"June","2020"
"2643","06/11/2020","Manhattan",60,"June","2020"
"2644","06/11/2020","Rockaway",1700,"June","2020"
"2645","06/11/2020","Midland",195,"June","2020"
"2646","06/11/2020","South beach",295,"June","2020"
"2647","06/11/2020","Wolfe's Pond",50,"June","2020"
"2648","06/11/2020","Cedar Grove",25,"June","2020"
"2649","06/12/2020","Orchard",6585,"June","2020"
"2650","06/12/2020","Coney Island",31500,"June","2020"
"2651","06/12/2020","Manhattan",2900,"June","2020"
"2652","06/12/2020","Rockaway",32500,"June","2020"
"2653","06/12/2020","Midland",1100,"June","2020"
"2654","06/12/2020","South beach",1417,"June","2020"
"2655","06/12/2020","Wolfe's Pond",185,"June","2020"
"2656","06/12/2020","Cedar Grove",135,"June","2020"
"2657","06/13/2020","Orchard",8715,"June","2020"
"2658","06/13/2020","Coney Island",154000,"June","2020"
"2659","06/13/2020","Manhattan",1600,"June","2020"
"2660","06/13/2020","Rockaway",20200,"June","2020"
"2661","06/13/2020","Midland",4000,"June","2020"
"2662","06/13/2020","South beach",4800,"June","2020"
"2663","06/13/2020","Wolfe's Pond",340,"June","2020"
"2664","06/13/2020","Cedar Grove",390,"June","2020"
"2665","06/14/2020","Orchard",9725,"June","2020"
"2666","06/14/2020","Coney Island",5800,"June","2020"
"2667","06/14/2020","Manhattan",1400,"June","2020"
"2668","06/14/2020","Rockaway",5600,"June","2020"
"2669","06/14/2020","Midland",4300,"June","2020"
"2670","06/14/2020","South beach",5800,"June","2020"
"2671","06/14/2020","Wolfe's Pond",290,"June","2020"
"2672","06/14/2020","Cedar Grove",200,"June","2020"
"2673","06/15/2020","Orchard",945,"June","2020"
"2674","06/15/2020","Coney Island",13150,"June","2020"
"2675","06/15/2020","Manhattan",400,"June","2020"
"2676","06/15/2020","Rockaway",5400,"June","2020"
"2677","06/15/2020","Midland",700,"June","2020"
"2678","06/15/2020","South beach",1050,"June","2020"
"2679","06/15/2020","Wolfe's Pond",80,"June","2020"
"2680","06/15/2020","Cedar Grove",115,"June","2020"
"2681","06/16/2020","Orchard",1366,"June","2020"
"2682","06/16/2020","Coney Island",11280,"June","2020"
"2683","06/16/2020","Manhattan",1100,"June","2020"
"2684","06/16/2020","Rockaway",5300,"June","2020"
"2685","06/16/2020","Midland",950,"June","2020"
"2686","06/16/2020","South beach",1250,"June","2020"
"2687","06/16/2020","Wolfe's Pond",80,"June","2020"
"2688","06/16/2020","Cedar Grove",90,"June","2020"
"2689","06/17/2020","Orchard",1710,"June","2020"
"2690","06/17/2020","Coney Island",12000,"June","2020"
"2691","06/17/2020","Manhattan",600,"June","2020"
"2692","06/17/2020","Rockaway",6900,"June","2020"
"2693","06/17/2020","Midland",850,"June","2020"
"2694","06/17/2020","South beach",1275,"June","2020"
"2695","06/17/2020","Wolfe's Pond",300,"June","2020"
"2696","06/17/2020","Cedar Grove",125,"June","2020"
"2697","06/18/2020","Orchard",744,"June","2020"
"2698","06/18/2020","Coney Island",3000,"June","2020"
"2699","06/18/2020","Manhattan",150,"June","2020"
"2700","06/18/2020","Rockaway",3300,"June","2020"
"2701","06/18/2020","Midland",600,"June","2020"
"2702","06/18/2020","South beach",779,"June","2020"
"2703","06/18/2020","Wolfe's Pond",40,"June","2020"
"2704","06/18/2020","Cedar Grove",20,"June","2020"
"2705","06/19/2020","Orchard",8428,"June","2020"
"2706","06/19/2020","Coney Island",18500,"June","2020"
"2707","06/19/2020","Manhattan",1100,"June","2020"
"2708","06/19/2020","Rockaway",15700,"June","2020"
"2709","06/19/2020","Midland",845,"June","2020"
"2710","06/19/2020","South beach",1253,"June","2020"
"2711","06/19/2020","Wolfe's Pond",165,"June","2020"
"2712","06/19/2020","Cedar Grove",140,"June","2020"
"2713","06/20/2020","Orchard",9846,"June","2020"
"2714","06/20/2020","Coney Island",59000,"June","2020"
"2715","06/20/2020","Manhattan",2000,"June","2020"
"2716","06/20/2020","Rockaway",52800,"June","2020"
"2717","06/20/2020","Midland",3500,"June","2020"
"2718","06/20/2020","South beach",4700,"June","2020"
"2719","06/20/2020","Wolfe's Pond",400,"June","2020"
"2720","06/20/2020","Cedar Grove",325,"June","2020"
"2721","06/21/2020","Orchard",12033,"June","2020"
"2722","06/21/2020","Coney Island",126000,"June","2020"
"2723","06/21/2020","Manhattan",2000,"June","2020"
"2724","06/21/2020","Rockaway",37000,"June","2020"
"2725","06/21/2020","Midland",3700,"June","2020"
"2726","06/21/2020","South beach",5200,"June","2020"
"2727","06/21/2020","Wolfe's Pond",410,"June","2020"
"2728","06/21/2020","Cedar Grove",350,"June","2020"
"2729","06/22/2020","Orchard",7976,"June","2020"
"2730","06/22/2020","Coney Island",23000,"June","2020"
"2731","06/22/2020","Manhattan",1160,"June","2020"
"2732","06/22/2020","Rockaway",10000,"June","2020"
"2733","06/22/2020","Midland",2250,"June","2020"
"2734","06/22/2020","South beach",3150,"June","2020"
"2735","06/22/2020","Wolfe's Pond",400,"June","2020"
"2736","06/22/2020","Cedar Grove",250,"June","2020"
"2737","06/23/2020","Orchard",7145,"June","2020"
"2738","06/23/2020","Coney Island",19200,"June","2020"
"2739","06/23/2020","Manhattan",1300,"June","2020"
"2740","06/23/2020","Rockaway",8900,"June","2020"
"2741","06/23/2020","Midland",2050,"June","2020"
"2742","06/23/2020","South beach",2700,"June","2020"
"2743","06/23/2020","Wolfe's Pond",500,"June","2020"
"2744","06/23/2020","Cedar Grove",300,"June","2020"
"2745","06/24/2020","Orchard",4731,"June","2020"
"2746","06/24/2020","Coney Island",22000,"June","2020"
"2747","06/24/2020","Manhattan",700,"June","2020"
"2748","06/24/2020","Rockaway",9250,"June","2020"
"2749","06/24/2020","Midland",1150,"June","2020"
"2750","06/24/2020","South beach",1800,"June","2020"
"2751","06/24/2020","Wolfe's Pond",225,"June","2020"
"2752","06/24/2020","Cedar Grove",220,"June","2020"
"2753","06/25/2020","Orchard",1562,"June","2020"
"2754","06/25/2020","Coney Island",7700,"June","2020"
"2755","06/25/2020","Manhattan",550,"June","2020"
"2756","06/25/2020","Rockaway",23500,"June","2020"
"2757","06/25/2020","Midland",1960,"June","2020"
"2758","06/25/2020","South beach",2960,"June","2020"
"2759","06/25/2020","Wolfe's Pond",100,"June","2020"
"2760","06/25/2020","Cedar Grove",50,"June","2020"
"2761","06/26/2020","Orchard",1784,"June","2020"
"2762","06/26/2020","Coney Island",30000,"June","2020"
"2763","06/26/2020","Manhattan",2100,"June","2020"
"2764","06/26/2020","Rockaway",27500,"June","2020"
"2765","06/26/2020","Midland",1535,"June","2020"
"2766","06/26/2020","South beach",1835,"June","2020"
"2767","06/26/2020","Wolfe's Pond",165,"June","2020"
"2768","06/26/2020","Cedar Grove",220,"June","2020"
"2769","06/27/2020","Orchard",2670,"June","2020"
"2770","06/27/2020","Coney Island",3850,"June","2020"
"2771","06/27/2020","Manhattan",0,"June","2020"
"2772","06/27/2020","Rockaway",3000,"June","2020"
"2773","06/27/2020","Midland",1800,"June","2020"
"2774","06/27/2020","South beach",2450,"June","2020"
"2775","06/27/2020","Wolfe's Pond",80,"June","2020"
"2776","06/27/2020","Cedar Grove",35,"June","2020"
"2777","06/28/2020","Orchard",9341,"June","2020"
"2778","06/28/2020","Coney Island",156500,"June","2020"
"2779","06/28/2020","Manhattan",2800,"June","2020"
"2780","06/28/2020","Rockaway",58548,"June","2020"
"2781","06/28/2020","Midland",4000,"June","2020"
"2782","06/28/2020","South beach",5600,"June","2020"
"2783","06/28/2020","Wolfe's Pond",500,"June","2020"
"2784","06/28/2020","Cedar Grove",350,"June","2020"
"2785","06/29/2020","Orchard",5749,"June","2020"
"2786","06/29/2020","Coney Island",82200,"June","2020"
"2787","06/29/2020","Manhattan",1700,"June","2020"
"2788","06/29/2020","Rockaway",14100,"June","2020"
"2789","06/29/2020","Midland",1800,"June","2020"
"2790","06/29/2020","South beach",2950,"June","2020"
"2791","06/29/2020","Wolfe's Pond",450,"June","2020"
"2792","06/29/2020","Cedar Grove",260,"June","2020"
"2793","06/30/2020","Orchard",1036,"June","2020"
"2794","06/30/2020","Coney Island",3700,"June","2020"
"2795","06/30/2020","Manhattan",850,"June","2020"
"2796","06/30/2020","Rockaway",7300,"June","2020"
"2797","06/30/2020","Midland",850,"June","2020"
"2798","06/30/2020","South beach",1150,"June","2020"
"2799","06/30/2020","Wolfe's Pond",300,"June","2020"
"2800","06/30/2020","Cedar Grove",50,"June","2020"
"2801","07/01/2020","Orchard",2595,"July","2020"
"2802","07/01/2020","Coney Island",8920,"July","2020"
"2803","07/01/2020","Manhattan",900,"July","2020"
"2804","07/01/2020","Rockaway",3950,"July","2020"
"2805","07/01/2020","Midland",3400,"July","2020"
"2806","07/01/2020","South beach",4600,"July","2020"
"2807","07/01/2020","Wolfe's Pond",225,"July","2020"
"2808","07/01/2020","Cedar Grove",170,"July","2020"
"2809","07/02/2020","Orchard",9619,"July","2020"
"2810","07/02/2020","Coney Island",103500,"July","2020"
"2811","07/02/2020","Manhattan",2700,"July","2020"
"2812","07/02/2020","Rockaway",64500,"July","2020"
"2813","07/02/2020","Midland",1555,"July","2020"
"2814","07/02/2020","South beach",2150,"July","2020"
"2815","07/02/2020","Wolfe's Pond",275,"July","2020"
"2816","07/02/2020","Cedar Grove",380,"July","2020"
"2817","07/03/2020","Orchard",6879,"July","2020"
"2818","07/03/2020","Coney Island",21000,"July","2020"
"2819","07/03/2020","Manhattan",1350,"July","2020"
"2820","07/03/2020","Rockaway",61500,"July","2020"
"2821","07/03/2020","Midland",2250,"July","2020"
"2822","07/03/2020","South beach",3375,"July","2020"
"2823","07/03/2020","Wolfe's Pond",365,"July","2020"
"2824","07/03/2020","Cedar Grove",305,"July","2020"
"2825","07/04/2020","Orchard",35359,"July","2020"
"2826","07/04/2020","Coney Island",207500,"July","2020"
"2827","07/04/2020","Manhattan",4000,"July","2020"
"2828","07/04/2020","Rockaway",105500,"July","2020"
"2829","07/04/2020","Midland",7800,"July","2020"
"2830","07/04/2020","South beach",10700,"July","2020"
"2831","07/04/2020","Wolfe's Pond",470,"July","2020"
"2832","07/04/2020","Cedar Grove",425,"July","2020"
"2833","07/05/2020","Orchard",45132,"July","2020"
"2834","07/05/2020","Coney Island",100250,"July","2020"
"2835","07/05/2020","Manhattan",2400,"July","2020"
"2836","07/05/2020","Rockaway",71900,"July","2020"
"2837","07/05/2020","Midland",5500,"July","2020"
"2838","07/05/2020","South beach",7100,"July","2020"
"2839","07/05/2020","Wolfe's Pond",525,"July","2020"
"2840","07/05/2020","Cedar Grove",600,"July","2020"
"2841","07/06/2020","Orchard",7817,"July","2020"
"2842","07/06/2020","Coney Island",9700,"July","2020"
"2843","07/06/2020","Manhattan",350,"July","2020"
"2844","07/06/2020","Rockaway",11400,"July","2020"
"2845","07/06/2020","Midland",850,"July","2020"
"2846","07/06/2020","South beach",975,"July","2020"
"2847","07/06/2020","Wolfe's Pond",200,"July","2020"
"2848","07/06/2020","Cedar Grove",150,"July","2020"
"2849","07/07/2020","Orchard",5767,"July","2020"
"2850","07/07/2020","Coney Island",5500,"July","2020"
"2851","07/07/2020","Manhattan",1100,"July","2020"
"2852","07/07/2020","Rockaway",6400,"July","2020"
"2853","07/07/2020","Midland",1850,"July","2020"
"2854","07/07/2020","South beach",2400,"July","2020"
"2855","07/07/2020","Wolfe's Pond",420,"July","2020"
"2856","07/07/2020","Cedar Grove",70,"July","2020"
"2857","07/08/2020","Orchard",10685,"July","2020"
"2858","07/08/2020","Coney Island",6225,"July","2020"
"2859","07/08/2020","Manhattan",800,"July","2020"
"2860","07/08/2020","Rockaway",6500,"July","2020"
"2861","07/08/2020","Midland",800,"July","2020"
"2862","07/08/2020","South beach",1175,"July","2020"
"2863","07/08/2020","Wolfe's Pond",200,"July","2020"
"2864","07/08/2020","Cedar Grove",125,"July","2020"
"2865","07/09/2020","Orchard",5995,"July","2020"
"2866","07/09/2020","Coney Island",102000,"July","2020"
"2867","07/09/2020","Manhattan",2400,"July","2020"
"2868","07/09/2020","Rockaway",49500,"July","2020"
"2869","07/09/2020","Midland",1240,"July","2020"
"2870","07/09/2020","South beach",1800,"July","2020"
"2871","07/09/2020","Wolfe's Pond",300,"July","2020"
"2872","07/09/2020","Cedar Grove",260,"July","2020"
"2873","07/10/2020","Orchard",273,"July","2020"
"2874","07/10/2020","Coney Island",250,"July","2020"
"2875","07/10/2020","Manhattan",51,"July","2020"
"2876","07/10/2020","Rockaway",750,"July","2020"
"2877","07/10/2020","Midland",29,"July","2020"
"2878","07/10/2020","South beach",48,"July","2020"
"2879","07/10/2020","Wolfe's Pond",0,"July","2020"
"2880","07/10/2020","Cedar Grove",0,"July","2020"
"2881","07/11/2020","Orchard",3022,"July","2020"
"2882","07/11/2020","Coney Island",7000,"July","2020"
"2883","07/11/2020","Manhattan",550,"July","2020"
"2884","07/11/2020","Rockaway",19700,"July","2020"
"2885","07/11/2020","Midland",4400,"July","2020"
"2886","07/11/2020","South beach",6900,"July","2020"
"2887","07/11/2020","Wolfe's Pond",460,"July","2020"
"2888","07/11/2020","Cedar Grove",65,"July","2020"
"2889","07/12/2020","Orchard",52261,"July","2020"
"2890","07/12/2020","Coney Island",178000,"July","2020"
"2891","07/12/2020","Manhattan",5900,"July","2020"
"2892","07/12/2020","Rockaway",160000,"July","2020"
"2893","07/12/2020","Midland",7500,"July","2020"
"2894","07/12/2020","South beach",9100,"July","2020"
"2895","07/12/2020","Wolfe's Pond",1200,"July","2020"
"2896","07/12/2020","Cedar Grove",650,"July","2020"
"2897","07/13/2020","Orchard",3716,"July","2020"
"2898","07/13/2020","Coney Island",9010,"July","2020"
"2899","07/13/2020","Manhattan",700,"July","2020"
"2900","07/13/2020","Rockaway",7300,"July","2020"
"2901","07/13/2020","Midland",1300,"July","2020"
"2902","07/13/2020","South beach",2500,"July","2020"
"2903","07/13/2020","Wolfe's Pond",300,"July","2020"
"2904","07/13/2020","Cedar Grove",175,"July","2020"
"2905","07/14/2020","Orchard",6398,"July","2020"
"2906","07/14/2020","Coney Island",27000,"July","2020"
"2907","07/14/2020","Manhattan",1600,"July","2020"
"2908","07/14/2020","Rockaway",10800,"July","2020"
"2909","07/14/2020","Midland",1450,"July","2020"
"2910","07/14/2020","South beach",2350,"July","2020"
"2911","07/14/2020","Wolfe's Pond",300,"July","2020"
"2912","07/14/2020","Cedar Grove",250,"July","2020"
"2913","07/15/2020","Orchard",3989,"July","2020"
"2914","07/15/2020","Coney Island",10700,"July","2020"
"2915","07/15/2020","Manhattan",900,"July","2020"
"2916","07/15/2020","Rockaway",11700,"July","2020"
"2917","07/15/2020","Midland",1475,"July","2020"
"2918","07/15/2020","South beach",1900,"July","2020"
"2919","07/15/2020","Wolfe's Pond",180,"July","2020"
"2920","07/15/2020","Cedar Grove",125,"July","2020"
"2921","07/16/2020","Orchard",3134,"July","2020"
"2922","07/16/2020","Coney Island",8550,"July","2020"
"2923","07/16/2020","Manhattan",1650,"July","2020"
"2924","07/16/2020","Rockaway",43500,"July","2020"
"2925","07/16/2020","Midland",725,"July","2020"
"2926","07/16/2020","South beach",975,"July","2020"
"2927","07/16/2020","Wolfe's Pond",200,"July","2020"
"2928","07/16/2020","Cedar Grove",130,"July","2020"
"2929","07/17/2020","Orchard",1006,"July","2020"
"2930","07/17/2020","Coney Island",1750,"July","2020"
"2931","07/17/2020","Manhattan",250,"July","2020"
"2932","07/17/2020","Rockaway",3200,"July","2020"
"2933","07/17/2020","Midland",260,"July","2020"
"2934","07/17/2020","South beach",715,"July","2020"
"2935","07/17/2020","Wolfe's Pond",160,"July","2020"
"2936","07/17/2020","Cedar Grove",125,"July","2020"
"2937","07/18/2020","Orchard",35905,"July","2020"
"2938","07/18/2020","Coney Island",262000,"July","2020"
"2939","07/18/2020","Manhattan",3800,"July","2020"
"2940","07/18/2020","Rockaway",160000,"July","2020"
"2941","07/18/2020","Midland",6850,"July","2020"
"2942","07/18/2020","South beach",9300,"July","2020"
"2943","07/18/2020","Wolfe's Pond",650,"July","2020"
"2944","07/18/2020","Cedar Grove",600,"July","2020"
"2945","07/19/2020","Orchard",58892,"July","2020"
"2946","07/19/2020","Coney Island",400000,"July","2020"
"2947","07/19/2020","Manhattan",5900,"July","2020"
"2948","07/19/2020","Rockaway",155000,"July","2020"
"2949","07/19/2020","Midland",3500,"July","2020"
"2950","07/19/2020","South beach",5800,"July","2020"
"2951","07/19/2020","Wolfe's Pond",1500,"July","2020"
"2952","07/19/2020","Cedar Grove",700,"July","2020"
"2953","07/20/2020","Orchard",8725,"July","2020"
"2954","07/20/2020","Coney Island",30200,"July","2020"
"2955","07/20/2020","Manhattan",2500,"July","2020"
"2956","07/20/2020","Rockaway",15700,"July","2020"
"2957","07/20/2020","Midland",1500,"July","2020"
"2958","07/20/2020","South beach",2500,"July","2020"
"2959","07/20/2020","Wolfe's Pond",300,"July","2020"
"2960","07/20/2020","Cedar Grove",170,"July","2020"
"2961","07/21/2020","Orchard",7857,"July","2020"
"2962","07/21/2020","Coney Island",26700,"July","2020"
"2963","07/21/2020","Manhattan",1800,"July","2020"
"2964","07/21/2020","Rockaway",14300,"July","2020"
"2965","07/21/2020","Midland",1600,"July","2020"
"2966","07/21/2020","South beach",2400,"July","2020"
"2967","07/21/2020","Wolfe's Pond",800,"July","2020"
"2968","07/21/2020","Cedar Grove",235,"July","2020"
"2969","07/22/2020","Orchard",4023,"July","2020"
"2970","07/22/2020","Coney Island",7500,"July","2020"
"2971","07/22/2020","Manhattan",1600,"July","2020"
"2972","07/22/2020","Rockaway",11300,"July","2020"
"2973","07/22/2020","Midland",1175,"July","2020"
"2974","07/22/2020","South beach",1600,"July","2020"
"2975","07/22/2020","Wolfe's Pond",265,"July","2020"
"2976","07/22/2020","Cedar Grove",200,"July","2020"
"2977","07/23/2020","Orchard",2724,"July","2020"
"2978","07/23/2020","Coney Island",3000,"July","2020"
"2979","07/23/2020","Manhattan",300,"July","2020"
"2980","07/23/2020","Rockaway",3900,"July","2020"
"2981","07/23/2020","Midland",905,"July","2020"
"2982","07/23/2020","South beach",1050,"July","2020"
"2983","07/23/2020","Wolfe's Pond",45,"July","2020"
"2984","07/23/2020","Cedar Grove",60,"July","2020"
"2985","07/24/2020","Orchard",1379,"July","2020"
"2986","07/24/2020","Coney Island",900,"July","2020"
"2987","07/24/2020","Manhattan",100,"July","2020"
"2988","07/24/2020","Rockaway",3700,"July","2020"
"2989","07/24/2020","Midland",185,"July","2020"
"2990","07/24/2020","South beach",320,"July","2020"
"2991","07/24/2020","Wolfe's Pond",65,"July","2020"
"2992","07/24/2020","Cedar Grove",25,"July","2020"
"2993","07/25/2020","Orchard",48709,"July","2020"
"2994","07/25/2020","Coney Island",295000,"July","2020"
"2995","07/25/2020","Manhattan",4500,"July","2020"
"2996","07/25/2020","Rockaway",145000,"July","2020"
"2997","07/25/2020","Midland",4300,"July","2020"
"2998","07/25/2020","South beach",5400,"July","2020"
"2999","07/25/2020","Wolfe's Pond",650,"July","2020"
"3000","07/25/2020","Cedar Grove",750,"July","2020"
"3001","07/26/2020","Orchard",60966,"July","2020"
"3002","07/26/2020","Coney Island",325000,"July","2020"
"3003","07/26/2020","Manhattan",5600,"July","2020"
"3004","07/26/2020","Rockaway",94000,"July","2020"
"3005","07/26/2020","Midland",4100,"July","2020"
"3006","07/26/2020","South beach",5800,"July","2020"
"3007","07/26/2020","Wolfe's Pond",635,"July","2020"
"3008","07/26/2020","Cedar Grove",600,"July","2020"
"3009","07/27/2020","Orchard",9905,"July","2020"
"3010","07/27/2020","Coney Island",152500,"July","2020"
